,type of loss,loss,conv,fa,cl,asp,ad,acc lp
351,random walks,DeepWalk,GAT,0.9,0.5,3,5,0.6893833662638719
352,random walks,DeepWalk,GAT,0.9,0.2,3,20,0.4978443069306931
353,random walks,DeepWalk,GAT,0.1,0.5,2,40,0.7127506627791294
354,random walks,DeepWalk,GAT,0.9,0.2,4,2,0.648772
355,random walks,DeepWalk,GAT,0.1,0.2,3,20,0.6574154958803606
356,random walks,DeepWalk,GAT,0.1,0.2,2,20,0.6381625694741342
357,random walks,DeepWalk,GCN,0.9,0.2,4,5,0.6657564937338094
358,random walks,DeepWalk,GAT,0.5,0.01,3,2,0.632575248589089
359,random walks,DeepWalk,GAT,0.1,0.2,4,2,0.7355220240816949
360,random walks,DeepWalk,GAT,0.1,0.5,3,5,0.6946097798020576
361,random walks,DeepWalk,GAT,0.5,0.01,3,5,0.6152728522551516
362,random walks,DeepWalk,GAT,0.9,0.2,4,5,0.6526302960525463
363,random walks,DeepWalk,GAT,0.5,0.01,3,20,0.6938912009512485
364,random walks,DeepWalk,GAT,0.1,0.5,3,20,0.7080623271167239
365,random walks,DeepWalk,GAT,0.5,0.01,4,2,0.6706084030412215
366,random walks,DeepWalk,GAT,0.1,0.2,4,5,0.6082520193861067
367,random walks,DeepWalk,GAT,0.1,0.5,4,5,0.736209140091647
